Country.of.Origin,Species,Owner,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Cuper.Points
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0,Green,3.0,7.83
Costa Rica,Arabica,troy quimby,Catuai,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1,Green,1.0,7.92
Mexico,Arabica,"el equimite, cafetal biodinÃ¡mico",Typica,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,0,Green,3.0,8.08
Kenya,Arabica,rashid moledina & co. (msa) ltd.,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0.0,0,0,Green,5.0,7.83
Brazil,Arabica,nucoffee,Mundo Novo,Natural / Dry,8.0,8,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8,85.0,0.12,0,0,Green,3.0,8.0
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,0,Green,1.0,7.83
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0,Green,0.0,7.92
"Tanzania, United Republic Of",Arabica,taylor winch (t) ltd,Other,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,0,Green,2.0,7.83
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0,Green,3.0,7.92
Brazil,Arabica,nucoffee,Bourbon,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0,Green,2.0,7.75
Brazil,Arabica,nucoffee,Catuai,Natural / Dry,8.0,8,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0,Green,2.0,7.92
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8,84.83,0.0,0,0,Green,0.0,8.0
Uganda,Arabica,kawacom uganda ltd,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,0,0,Green,1.0,7.83
Thailand,Arabica,???? koju matsuzawa,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8,84.75,0.12,0,0,Green,0.0,8.0
Kenya,Arabica,lydiah mwangi,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,0,0,Green,0.0,7.92
Honduras,Arabica,cadexsa,Catuai,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,0,0,Green,4.0,8.17
El Salvador,Arabica,consejo salvadoreÃ±o del cafÃ©,Bourbon,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8,84.67,0.0,0,0,Blue-Green,2.0,8.0
Indonesia,Arabica,sanjava coffee,Java,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0,Green,7.0,7.92
Japan,Arabica,???? koju matsuzawa,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,0,0,Green,0.0,8.08
Costa Rica,Arabica,rodrigo soto,Catuai,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,0,0,Blue-Green,2.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,0,0,Green,1.0,7.83
Costa Rica,Arabica,fabian calderon mora,Caturra,Washed / Wet,8.17,8,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0,Green,0.0,7.92
Costa Rica,Arabica,essencecoffee,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,0.08,0,0,Green,1.0,7.67
Costa Rica,Arabica,eric thormaehlen,Catuai,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8,84.67,0.11,0,0,Green,4.0,8.0
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,0.11,0,0,Green,0.0,7.75
Colombia,Arabica,compaÃ±ia colombiana agroindustrial s.a,Caturra,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,0.0,0,0,Green,0.0,7.92
Kenya,Arabica,dream together,SL28,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0,Bluish-Green,0.0,7.83
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,0.11,0,0,Green,4.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8,84.67,0.12,0,0,Green,4.0,8.0
Uganda,Arabica,afca,Other,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0,Blue-Green,3.0,7.83
Kenya,Arabica,jungle estate,SL34,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58,0.11,0,0,Blue-Green,5.0,7.83
Colombia,Arabica,racafe & cia s.c.a,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,0.0,0,0,Blue-Green,4.0,8.08
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.0,0,1,Green,5.0,7.75
Kenya,Arabica,daniel magu,Peaberry,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,0.1,0,0,Bluish-Green,2.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,0,0,Green,1.0,7.83
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,0,0,Green,0.0,8.17
Kenya,Arabica,taylor winch (coffee) ltd.,SL28,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58,0.0,0,0,Green,0.0,7.75
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,0.0,0,0,Green,2.0,7.75
Costa Rica,Arabica,lusso lab,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,0,0,Bluish-Green,2.0,7.75
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,0.11,0,0,Green,6.0,8.08
Brazil,Arabica,nucoffee,Bourbon,Semi-washed / Semi-pulped,8.0,8,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0,Green,2.0,7.75
Brazil,Arabica,nucoffee,Catuai,Semi-washed / Semi-pulped,8.5,8,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,0,Blue-Green,1.0,7.5
Costa Rica,Arabica,max gurdian,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8,84.5,0.1,0,0,Bluish-Green,2.0,8.0
Uganda,Arabica,ecom japan limited,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,0.11,0,0,Green,1.0,7.83
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,0.1,0,0,Green,1.0,7.92
Costa Rica,Arabica,fabian calderon mora,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,0.11,0,0,Green,0.0,7.92
Colombia,Arabica,federacion nacional de cafeteros,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,0.12,1,0,Green,0.0,7.75
China,Arabica,eric wu,Other,Washed / Wet,7.67,8,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,0.0,0,0,Green,2.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,0.11,0,0,Green,2.0,7.5
Kenya,Arabica,dream together,SL28,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,0.11,0,0,Blue-Green,0.0,7.67
Mexico,Arabica,maria imelda uscanga martinez,Typica,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,0.12,0,0,Green,0.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,8,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,0.11,0,0,Green,2.0,7.83
Costa Rica,Arabica,max gurdian,Caturra,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,0.1,0,0,Blue-Green,3.0,7.92
Indonesia,Arabica,aulia arif syahri,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8,84.42,0.0,0,0,Blue-Green,3.0,8.0
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42,0.0,0,0,Green,1.0,7.67
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42,0.0,0,0,Green,3.0,7.75
Taiwan,Arabica,kao ming lee,Typica,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0,Blue-Green,0.0,7.75
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42,0.11,0,0,Blue-Green,1.0,7.83
Kenya,Arabica,lydiah mwangi,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33,0.11,0,0,Green,4.0,8.17
Colombia,Arabica,raÃºl vargas,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33,0.0,0,3,Green,5.0,7.5
Honduras,Arabica,bismarck castro,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33,0.11,0,1,Green,2.0,7.83
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33,0.11,6,0,Green,0.0,7.33
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33,0.0,0,0,Green,0.0,8.17
Mexico,Arabica,victor hugo melchor cordova,Typica,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,0.12,0,0,Blue-Green,1.0,7.83
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25,0.12,0,0,Blue-Green,0.0,7.67
Thailand,Arabica,???? koju matsuzawa,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8,84.25,0.12,0,0,Green,0.0,8.0
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25,0.11,0,0,Green,2.0,7.83
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.11,0,4,Green,4.0,7.75
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,0.1,0,0,Green,1.0,7.75
China,Arabica,yunnan coffee exchange,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.1,0,0,Green,1.0,7.75
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,84.25,0.11,0,0,Green,3.0,7.83
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,84.25,0.12,4,0,Green,2.0,7.75
Colombia,Arabica,federacion nacional de cafeteros,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,84.25,0.12,0,0,Green,0.0,7.83
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,84.25,0.12,3,0,Green,0.0,7.83
"Tanzania, United Republic Of",Arabica,tembo coffee company ltd,Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,84.25,0.12,0,0,Green,7.0,7.83
"Tanzania, United Republic Of",Arabica,taylor winch (t) ltd,Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.25,0.12,0,0,Green,2.0,7.75
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,84.25,0.1,0,0,Green,1.0,7.83
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.25,0.11,0,0,Green,2.0,7.83
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,84.25,0.11,1,0,Bluish-Green,1.0,7.83
Mexico,Arabica,jesus salazar velasco,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.25,0.12,0,0,Green,1.0,7.75
Mexico,Arabica,manuel herrera juarez,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,84.25,0.12,0,0,Green,0.0,7.75
Mexico,Arabica,alfredo bojalil,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,84.25,0.1,0,0,Bluish-Green,4.0,7.83
Uganda,Arabica,afca,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,84.25,0.13,4,0,Green,29.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,84.17,0.13,0,0,Green,1.0,7.75
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.0,0,0,Green,2.0,7.75
Costa Rica,Arabica,wayner jimenez,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8,84.17,0.09,0,0,Bluish-Green,2.0,8.0
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,84.17,0.11,0,0,Green,6.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.17,0.1,0,1,Green,10.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,0.1,0,0,Green,2.0,7.83
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,84.17,0.0,0,0,Bluish-Green,0.0,7.67
Nicaragua,Arabica,cooperativa el gorrion r.l,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,84.17,0.12,0,0,Bluish-Green,0.0,7.83
